network_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,0,46.22,76.32,330.89,344.02,302.53,373.65,320.1,338.97,700.9,177.82,219.81,634.69,129.47,437.36,306.66,440.88,302.13,700.83,762.52,352.43,538.09,476.11,583.58,374.71,319.87,341.04,346.17,294.46,319.05,479.12,271.19,262.5,279.06,290.02,203.05,276.37,406.1,261.84,284.62,272.08,296.2,255.45,255.46,397.39,313.89,348.58,200.21,122.89,234.72,146.16,303.85,367.57,244.32,760.34,390.59,266.99,678.08,91.35,324.84,359.27
1,46.22,0,47.3,301.87,315,273.51,344.63,291.08,309.95,671.88,148.8,190.79,605.67,100.45,408.34,277.64,411.86,273.11,671.81,733.5,323.41,509.07,447.09,554.56,345.69,290.85,312.02,317.15,265.44,290.03,450.1,242.17,233.48,250.04,261,174.03,247.35,377.08,232.82,255.6,243.06,267.18,226.43,226.44,368.37,284.87,319.56,171.19,93.87,205.7,117.14,274.83,338.55,215.3,731.32,361.57,237.97,649.06,62.33,295.82,330.25
2,76.32,47.3,0,262.39,275.52,234.03,305.15,251.6,270.47,632.4,109.32,151.31,566.19,60.97,368.86,238.16,372.38,233.63,632.33,694.02,283.93,469.59,407.61,515.08,306.21,251.37,272.54,277.67,225.96,250.55,410.62,202.69,194,210.56,221.52,134.55,207.87,337.6,193.34,216.12,203.58,227.7,186.95,186.96,328.89,245.39,280.08,131.71,54.39,166.22,77.66,235.35,299.07,175.82,691.84,322.09,198.49,609.58,92.43,256.34,290.77
3,330.89,301.87,262.39,0,167.45,35.52,71.92,18.37,242.08,654.61,241.39,122.92,588.4,212.52,260.79,130.09,394.59,125.56,654.54,716.23,306.14,491.8,429.82,537.29,328.42,143.3,164.47,299.88,117.89,272.76,432.83,224.9,85.93,182.17,49.45,156.76,99.8,229.53,215.55,238.33,225.79,249.91,209.16,209.17,351.1,267.6,302.29,149.12,308.96,188.43,197.73,257.56,191,95.89,714.05,344.3,137.4,631.79,347,278.55,312.98
4,344.02,315,275.52,167.45,0,139.09,210.21,156.66,255.21,667.74,254.52,136.05,601.53,225.65,96.78,60.02,407.72,95.97,667.67,729.36,319.27,504.93,442.95,550.42,341.55,113.71,134.88,313.01,88.3,285.89,445.96,238.03,88.88,195.3,126.58,169.89,70.21,65.52,228.68,251.46,238.92,263.04,222.29,222.3,364.23,280.73,315.42,162.25,322.09,201.56,210.86,270.69,26.99,109.02,727.18,357.43,150.53,644.92,360.13,291.68,326.11
5,302.53,273.51,234.03,35.52,139.09,0,78.28,24.73,213.72,626.25,213.03,94.56,560.04,184.16,232.43,101.73,366.23,97.2,626.18,687.87,277.78,463.44,401.46,508.93,300.06,114.94,136.11,271.52,89.53,244.4,404.47,196.54,57.57,153.81,21.09,128.4,71.44,201.17,187.19,209.97,197.43,221.55,180.8,180.81,322.74,239.24,273.93,120.76,280.6,160.07,169.37,229.2,162.64,67.53,685.69,315.94,109.04,603.43,318.64,250.19,284.62
6,373.65,344.63,305.15,71.92,210.21,78.28,0,61.13,284.84,697.37,284.15,165.68,631.16,255.28,303.55,172.85,437.35,168.32,697.3,758.99,348.9,534.56,472.58,580.05,371.18,186.06,207.23,342.64,160.65,315.52,475.59,267.66,128.69,224.93,92.21,199.52,142.56,272.29,258.31,281.09,268.55,292.67,251.92,251.93,393.86,310.36,345.05,191.88,351.72,231.19,240.49,300.32,233.76,138.65,756.81,387.06,180.16,674.55,389.76,321.31,355.74
7,320.1,291.08,251.6,18.37,156.66,24.73,61.13,0,231.29,643.82,230.6,112.13,577.61,201.73,250,119.3,383.8,114.77,643.75,705.44,295.35,481.01,419.03,526.5,317.63,132.51,153.68,289.09,107.1,261.97,422.04,214.11,75.14,171.38,38.66,145.97,89.01,218.74,204.76,227.54,215,239.12,198.37,198.38,340.31,256.81,291.5,138.33,298.17,177.64,186.94,246.77,180.21,85.1,703.26,333.51,126.61,621,336.21,267.76,302.19
8,338.97,309.95,270.47,242.08,255.21,213.72,284.84,231.29,0,662.69,249.47,131,596.48,220.6,348.55,217.85,402.67,213.32,662.62,724.31,314.22,499.88,437.9,545.37,336.5,231.06,252.23,307.96,205.65,280.84,440.91,232.98,173.69,96.69,201.21,164.84,187.56,317.29,223.63,246.41,233.87,257.99,217.24,217.25,359.18,275.68,310.37,157.2,317.04,196.51,205.81,265.64,278.76,155.51,722.13,352.38,178.18,639.87,355.08,286.63,321.06
9,700.9,671.88,632.4,654.61,667.74,626.25,697.37,643.82,662.69,0,611.4,543.53,313.05,582.53,761.08,630.38,274.66,625.85,60.85,69,578.11,185.71,251.19,261.94,600.39,643.59,664.76,571.85,618.18,544.73,242.2,496.87,586.22,602.78,613.74,514.75,600.09,729.82,487.52,510.3,497.76,430.8,481.13,451.84,623.07,539.57,364.16,523.93,678.97,472.4,567.74,406.49,691.29,568.04,438.7,325.89,590.71,38.1,717.01,403.94,584.95
